bbl,bin,address,zipcode,bldgtype,ess,year,gfa,numbldgs,numfloors,eui,energy,wui,ghg,primary_type,other_types_dict,has_datacenter,electricity,bedrooms,natural_gas,steam,worker_dens,res_units,diesel,fuel_4,fuel_2,fuel_5_6
1018910062,1057245,310 West 106th Street,10025,Multifamily Housing,0,1927,93293,1,16,105.9,,,6.09,Multifamily Home,,0,1228651.62,78,290280.65,,,78,,,,6041455.8
1008270068,1015631,38 West 26th Street,10010,Multifamily Housing,0,1909,65150,1,12,105.3,,,4.07,Multifamily Home,"{'Multifamily Home': 61150.0, 'Retail': 4000.0}",0,,48,,,,19,,,,
2057890015,2084121,3206 Fairfield Avenue,10463,Multifamily Housing,0,1954,59352,1,6,119.7,,,4.74,Multifamily Home,,0,734487.65,74,3721214.59,,,55,,,0,
2058030985,2084226,4445 Post Road,10463,Multifamily Housing,0,1940,62088,1,7,144.4,,,8.75,Multifamily Home,,0,,92,,,,67,,,,
2057470590,2083482,2711 Henry Hudson Parkway,10463,Multifamily Housing,0,1953,82559,1,6,148.7,,,7.4,Multifamily Home,,0,,96,,,,47,,,,
2042510011,2047812,1874 Pelham Parkway South,10461,Multifamily Housing,0,1970,85218,2,6,134.9,,,5.08,Multifamily Home,,0,,151,,,,90,,,,
2033110138,2017360,190 East Mosholu Parkway,10458,Multifamily Housing,0,1939,63763,1,6,123.7,,,7.68,Multifamily Home,"{'Multifamily Home': 62563.0, 'Retail': 1200.0}",0,,91,,,,55,,,,
3010640018,3024625,39 Plaza Street,11217,Multifamily Housing,0,1927,65000,1,14,88.6,,,3.43,Multifamily Home,,0,582576.95,77,3213589.27,,,38,,,0,
2032990014,2016980,306 East Mosholu Parkway,10458,Multifamily Housing,0,1939,65070,1,6,100.6,,,6.36,Multifamily Home,,0,,97,,,,61,,,,
1020517501,1086223,330 West 145th Street,10039,Multifamily Housing,0,2001,104739,6,8,172.4,,,5.65,Multifamily Home,"{'Multifamily Home': 82196.0, 'Retail': 22543.0}",0,3950873.62,147,3821923.53,,,77,,,,
1012380010,1033555,255 West 90th Street,10024,Multifamily Housing,0,1920,96627,1,12,90.8,,,4.99,Multifamily Home,"{'Multifamily Home': 90827.0, 'Retail': 5800.0}",0,1238064.76,101,184463.85,,,38,,,,5580910.29
2029390090,2009866,1660 Crotona Park East,10460,Multifamily Housing,0,1926,75978,1,4,117.8,,,5.42,Multifamily Home,,0,,115,,,,67,,,,
