,Utility Price,,,,,Utility Sales,,,,,Utility Time cost,,,,,Utility Difficulty,,,,,Utility System,,,,,Utility Rating,,,,
,A,B,C,D,E,A,B,C,D,E,A,B,C,D,E,A,B,C,D,E,A,B,C,D,E,A,B,C,D,E
LEGO THE INCREDIBLES,0.759907521,0.88557886,0.6374611,0.36749555,0.240092479,0.87326368,0.92380544,0.08084896,0.0455088,0.0425048,0.508831731,0.85501026,0.113638442,0.092115664,0.085622221,0.9918,0.7267,0.09,0.0301,-0.0063,0.5965,0.8882,0.7059,0.4686,0.2247,0.605705939,0.55725245,0.52861165,0.518007814,0.499818286
MASS EFFECT 2,0.653603009,0.89471294,0.7631059,0.50455795,0.346396991,0.92023533,0.95936239,0.02913026,0.02015655,0.01841755,0.191943098,0.398114968,0.490708196,0.425400278,0.422982179,0.3996,0.7567,0.917,0.7589,0.4735,0.5965,0.8882,0.7059,0.4686,0.2247,0.879501951,0.849678302,0.827171964,0.821163095,0.810536256
Monster hunter,0.202624081,0.48813846,0.6242171,0.79732355,0.797375919,0.0052,0.2258,0.8773,0.6054,0.569,0.057072453,0.098131389,0.746493235,0.63827155,0.622142703,0.0034,-0.5405,0.0872,0.7981,1.0005,0.0058,-0.3433,0.0702,0.8118,0.9864,0.922979412,0.902597473,0.884019398,0.880692822,0.875200969
NEED FOR SPEED: RIVALS ,0.7192816,0.892716,0.69098,0.42224,0.2807184,0.821547,0.884521,0.137264,0.073725,0.069295,0.167595379,0.385132801,0.48686578,0.434104821,0.405419971,0.6712,0.9076,0.7106,0.4807,0.2277,0.299,0.7331,0.9138,0.7458,0.4526,0.809094271,0.768731133,0.742068067,0.733449892,0.719533458
NGU IDLE,1.001471809,0.76172094,0.1963859,-0.01080205,-0.001471809,0.948912,0.981016,-0.002656,0.0048,0.00382,0.068512695,0.134677483,0.735101113,0.625187292,0.609915945,0.9918,0.7267,0.09,0.0301,-0.0063,0.9946,0.7879,0.0782,0.0286,0.0228,0.918775565,0.898393515,0.879971854,0.875659891,0.868216437
NieR:Automata,0.4986469,0.846984,0.85415,0.664775,0.5013531,0.6712,0.7694,0.2977,0.1578,0.149,0.330640033,0.692694156,0.242070032,0.205288768,0.186897965,0.177,0.274,0.7092,0.8647,0.7311,0.1021,0.3226,0.7019,0.8602,0.7065,0.876641278,0.843156627,0.818714419,0.814082905,0.806233959
Nioh,0.653603009,0.89471294,0.7631059,0.50455795,0.346396991,0.6712,0.7694,0.2977,0.1578,0.149,0.089208316,0.171001299,0.688638764,0.574620688,0.574226205,0.177,0.274,0.7092,0.8647,0.7311,0.0058,-0.3433,0.0702,0.8118,0.9864,0.902100708,0.875617219,0.854358793,0.849748574,0.84228422
Oxygen Not Included,0.554344009,0.87327294,0.8352059,0.61310795,0.445655991,0.897048,0.941824,0.054716,0.03264,0.03028,0.425237584,0.791326496,0.871038225,0.74788196,0.742811938,0.3996,0.7567,0.917,0.7589,0.4735,0.9946,0.7879,0.0782,0.0286,0.0228,0.918775565,0.898393515,0.879971854,0.875659891,0.868216437
Planet Zoo,0.202308009,0.48751294,0.6236059,0.79730795,0.797691991,0.8298,0.8908,0.1283,0.0692,0.065,0.037926637,0.055969047,0.164958586,0.138566738,0.126513593,0.3996,0.7567,0.917,0.7589,0.4735,0.299,0.7331,0.9138,0.7458,0.4526,0.827919741,0.786243206,0.75838427,0.751646276,0.741577205
PLAYERUNKNOWN'S BATTLEGROUNDS,0.459585009,0.82183294,0.8573059,0.69665795,0.540414991,-0.1758,0.0148,0.7883,0.8684,0.809,0.371449243,0.738353894,0.792245647,0.687009544,0.678558738,0.3996,0.7567,0.917,0.7589,0.4735,0.0058,-0.3433,0.0702,0.8118,0.9864,0.882395199,0.851188933,0.827892928,0.822362728,0.813592334
Pokémon,0.234271609,0.54768894,0.6807659,0.79688795,0.765728391,0.192552,0.388336,0.751724,0.458,0.43172,0.271198237,0.597502056,0.206489356,0.171035799,0.156753885,0.6712,0.9076,0.7106,0.4807,0.2277,0.299,0.7331,0.9138,0.7458,0.4526,0.866401895,0.830577694,0.805112645,0.799841966,0.792408329
Red Dead Redemption II,0.193487225,0.4698035,0.6061675,0.79670875,0.806512775,-0.175925,0.010025,0.7702,0.878925,0.818375,0.157757515,0.336140508,0.318424184,0.269852628,0.246723778,0.177,0.274,0.7092,0.8647,0.7311,0.0058,-0.3433,0.0702,0.8118,0.9864,0.961015073,0.958634468,0.948346812,0.947074741,0.943380539
RimWorld,0.369326009,0.74039294,0.8294059,0.75520795,0.630673991,0.352023,0.518749,0.613916,0.350265,0.330655,0.014383799,-0.005033807,0.541397753,0.470056784,0.426282478,0.3996,0.7567,0.917,0.7589,0.4735,0.9946,0.7879,0.0782,0.0286,0.0228,0.89209029,0.863386079,0.841206659,0.835960019,0.82749736
Rocket League,0.653603009,0.89471294,0.7631059,0.50455795,0.346396991,0.93757093,0.97245719,0.00993346,0.01086255,0.00958355,0.334190951,0.696436372,0.858375707,0.737930724,0.733493531,0.6712,0.9076,0.7106,0.4807,0.2277,0.5965,0.8882,0.7059,0.4686,0.2247,0.882395199,0.851188933,0.827892928,0.822362728,0.813592334
Romance of  the three kingdoms 13,0.653603009,0.89471294,0.7631059,0.50455795,0.346396991,0.897048,0.941824,0.054716,0.03264,0.03028,0.189897892,0.419409281,0.244811668,0.205866797,0.187124356,0.3996,0.7567,0.917,0.7589,0.4735,0.299,0.7331,0.9138,0.7458,0.4526,0.67839608,0.625674774,0.593728817,0.585619887,0.574348528
Sekiro: Shadows Die Twice,0.283567009,0.62895294,0.7515059,0.78875795,0.716432991,0.686448,0.781144,0.281696,0.14912,0.14078,0.120404997,0.255508558,0.463140691,0.391431336,0.365508374,0.0034,-0.5405,0.0872,0.7981,1.0005,0.0058,-0.3433,0.0702,0.8118,0.9864,0.950237308,0.941929202,0.928963061,0.92659886,0.922334022
SID MEIER'S CIVILIZATION VI,-0.014468991,-0.11680706,-0.0600941,0.67295795,1.014468991,0.92801952,0.96524416,0.02051744,0.0159792,0.0144472,0.062272495,0.110265943,0.605682363,0.521124881,0.497167363,0.177,0.274,0.7092,0.8647,0.7311,0.299,0.7331,0.9138,0.7458,0.4526,0.70439613,0.657266073,0.628691463,0.617608857,0.600972698
SMITE,0.459585009,0.82183294,0.8573059,0.69665795,0.540414991,0.686448,0.781144,0.281696,0.14912,0.14078,0.133640901,0.278335664,0.743820407,0.637211819,0.616451864,0.3996,0.7567,0.917,0.7589,0.4735,0.0058,-0.3433,0.0702,0.8118,0.9864,0.850909924,0.813013497,0.786775733,0.780478857,0.770881256
STARCRAFT II: WINGS OF LIBERTY,0.800125609,0.87432894,0.5781659,0.31058795,0.199874391,0.472008,0.614224,0.499916,0.27512,0.25988,0.094894246,0.184625799,0.591165586,0.507419652,0.482394592,0.0034,-0.5405,0.0872,0.7981,1.0005,0.5965,0.8882,0.7059,0.4686,0.2247,0.846790571,0.812900625,0.78897085,0.782111492,0.768393314
Stardew Valley,0.653603009,0.89471294,0.7631059,0.50455795,0.346396991,0.709575,0.798925,0.2573,0.136025,0.128375,0.720199113,0.941912444,0.669436838,0.571881486,0.544995715,0.9918,0.7267,0.09,0.0301,-0.0063,0.9946,0.7879,0.0782,0.0286,0.0228,0.902214851,0.875648939,0.854304672,0.849944526,0.842581832
The friends of Ringo Ishikawa,0.932736409,0.81005694,0.3416459,0.10532795,0.067263591,0.5262,0.6568,0.4463,0.2424,0.229,0.244211821,0.512464995,0.040215466,0.032882901,0.026876939,0.6712,0.9076,0.7106,0.4807,0.2277,0.9946,0.7879,0.0782,0.0286,0.0228,0.866341898,0.830597946,0.805111379,0.800001067,0.792127284
THE KING OF FIGHTERS XIII: STEAM EDITION,0.653603009,0.89471294,0.7631059,0.50455795,0.346396991,0.922827,0.961321,0.026264,0.018765,0.017095,0.313887062,0.667365302,0.399342713,0.338050292,0.332182146,0.177,0.274,0.7092,0.8647,0.7311,0.5965,0.8882,0.7059,0.4686,0.2247,0.855237236,0.820164271,0.795591907,0.788132396,0.777085634
The Last of Us,0.732049449,0.89094334,0.6748699,0.40533995,0.267950551,-0.0282,0.1948,0.8918,0.6362,0.5975,0.197720771,0.450468821,0.262831519,0.219252888,0.202274468,0.177,0.274,0.7092,0.8647,0.7311,0.1021,0.3226,0.7019,0.8602,0.7065,0.931858656,0.916668049,0.900608896,0.897301896,0.890184273
The Legend of Zelda: Breath of the Wild,0.218199809,0.51820094,0.6531859,0.79759795,0.781800191,0.0052,0.2258,0.8773,0.6054,0.569,0.193667421,0.431424009,0.447468293,0.374300928,0.354976596,0.177,0.274,0.7092,0.8647,0.7311,0.299,0.7331,0.9138,0.7458,0.4526,0.961015073,0.958634468,0.948346812,0.947074741,0.943380539
The witcher3 :wlid hunt,0.38684,0.7589,0.8389,0.7456,0.61316,-0.108,0.115,0.9041,0.7226,0.677,0.058337328,0.111058492,0.457428859,0.386807223,0.360668545,0.177,0.274,0.7092,0.8647,0.7311,0.1021,0.3226,0.7019,0.8602,0.7065,0.924191153,0.905830333,0.888290607,0.884408773,0.877121518
TOM CLANCY'S RAINBOW SIX SIEGE,0.3815141,0.753416,0.83623,0.748615,0.6184859,0.43472373,0.58474759,0.53608706,0.29804255,0.28149155,0.058734116,0.088286289,0.733560126,0.647478548,0.637687415,0.0034,-0.5405,0.0872,0.7981,1.0005,0.299,0.7331,0.9138,0.7458,0.4526,0.769503153,0.725399226,0.69754552,0.687291702,0.672961966
Total War: ROME II - Emperor Edition,-0.014468991,-0.11680706,-0.0600941,0.67295795,1.014468991,0.90646477,0.94894991,0.04433794,0.02756295,0.02545595,0.188694864,0.438568462,0.758374175,0.651362481,0.646095211,0.3996,0.7567,0.917,0.7589,0.4735,0.299,0.7331,0.9138,0.7458,0.4526,0.763444284,0.714697479,0.683975613,0.676379823,0.665412076
total war: three kingdom,0.220599104,0.52270064,0.6574504,0.7975552,0.779400896,0.888523,0.935369,0.064096,0.037245,0.034655,0.659781558,0.924508294,0.456645174,0.38334839,0.36510881,0.0034,-0.5405,0.0872,0.7981,1.0005,0.1021,0.3226,0.7019,0.8602,0.7065,0.846460474,0.808259509,0.781916107,0.775647332,0.765232915
Trine 4: The Nightmare Prince,0.554344009,0.87327294,0.8352059,0.61310795,0.445655991,0.9142,0.9548,0.0358,0.0234,0.0215,0.311003628,0.657485399,0.054993395,0.045299323,0.038581016,0.6712,0.9076,0.7106,0.4807,0.2277,0.1021,0.3226,0.7019,0.8602,0.7065,0.880236403,0.847405711,0.823244117,0.818413415,0.811322812
Uncharted 4: A Thief's End,0.6574636,0.894936,0.75938,0.49994,0.3425364,0.352023,0.518749,0.613916,0.350265,0.330655,0.194767089,0.407454641,0.267436639,0.225918812,0.210787305,0.177,0.274,0.7092,0.8647,0.7311,0.1021,0.3226,0.7019,0.8602,0.7065,0.926804986,0.909484423,0.892423866,0.88873846,0.881518552
WATCH DOGS 2,0.125549009,0.31607294,0.4457059,0.78085795,0.874450991,0.61816797,0.72841951,0.35283434,0.18829095,0.17785795,0.699554873,0.933697165,0.494946659,0.420813521,0.401882423,0.177,0.274,0.7092,0.8647,0.7311,0.299,0.7331,0.9138,0.7458,0.4526,0.829602185,0.789703978,0.762979448,0.754967869,0.743841877
What Remains of Edith Finch,0.653603009,0.89471294,0.7631059,0.50455795,0.346396991,0.897048,0.941824,0.054716,0.03264,0.03028,0.115437177,0.211714544,0.047089406,0.036940483,0.031307931,0.3996,0.7567,0.917,0.7589,0.4735,0.9946,0.7879,0.0782,0.0286,0.0228,0.784058246,0.74059309,0.712856688,0.703310048,0.689300981
WORLD OF WARCRAFT,0.987825876,0.77208016,0.2263756,0.0127478,0.012174124,-0.00209603,0.21910751,0.88077634,0.61195095,0.57506795,0.884051377,0.7581613,0.632577884,0.550724838,0.526113318,0.0034,-0.5405,0.0872,0.7981,1.0005,0.299,0.7331,0.9138,0.7458,0.4526,0.918775565,0.898393515,0.879971854,0.875659891,0.868216437
